epoch,train_loss,val_loss,train_acc,val_acc
1,0.6103070307731628,0.8055393999318282,76.82,71.35555555555555
2,0.44591364545822143,0.8332926738353239,82.55,72.14444444444445
3,0.40288888957500457,0.7238402642229986,84.34,75.27777777777777
4,0.37781262407302857,0.8260068492191948,85.53,73.77777777777777
5,0.35602519631385804,0.7325507181073643,85.8,75.61111111111111
6,0.3308541883945465,0.8624002091327889,87.12,73.85555555555555
7,0.33088675656318667,0.8781849932140774,87.11,74.37777777777778
8,0.31669326198101044,0.9031452497635036,87.08,75.24444444444444
9,0.31191931617259977,0.7526153387930244,87.48,76.8
10,0.30944847383499147,0.8385338128263958,87.78,74.16666666666667
11,0.2987240195631981,0.7691080488043113,88.12,77.04444444444445
12,0.30289522054195406,0.9292962031145062,88.09,74.31111111111112
13,0.2856463125228882,0.859013673035014,89.25,74.12222222222222
14,0.28272978103160856,0.9175894655258291,88.7,72.97777777777777
15,0.27648964211940763,0.7826991654975961,89.13,76.45555555555555
16,0.2653628388404846,0.9648481824363893,89.45,73.94444444444444
17,0.2776292338132858,0.801681866992265,89.06,77.15555555555555
18,0.26845277104377746,0.9577369769223862,89.29,75.13333333333334
19,0.26576625888347627,1.0561111613205996,89.58,75.32222222222222
20,0.25590816407203676,1.141759249103359,90.08,73.2
